Taxon	A1	A16	A16B	A16S	A19	A19B	A19S	A2	B10	B10B	B10S	B6	B6B	B6S
f1b8ab8f1a3e4d7d520690e12dfeda43	d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales; f__Isosphaeraceae; g__Aquisphaera	0	108	0	0	0	0	0	0	0	0	0	0	0	0
3543ade67bac7627f8d9a156acbaa457	d__Bacteria	0	0	108	0	0	0	0	0	0	0	0	0	0	0
1fcce52c6844f78a163039ec133249f8	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9973; f__UBA2103; g__C7867-001; s__	0	0	0	0	0	0	0	0	0	0	108	0	0	0
00aa0c9f0787cb3c0c7c41cce2086f07	d__Bacteria; p__Patescibacteria; c__ABY1; o__UBA10025; f__UBA10025; g__UBA10025	0	0	0	0	0	0	0	0	0	0	108	0	0	0
2ffdc496802e8e1c80a028e221d11e72	d__Bacteria	0	0	107	0	0	0	0	0	0	0	0	0	0	0
74605e869a8bf190665a263150f0a13b	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA6257; f__2-01-FULL-56-20; g__SURF-56; s__	0	0	0	107	0	0	0	0	0	0	0	0	0	0
8851fdb57392fd75463e72ee2285454c	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9973; f__UBA2103; g__C7867-001; s__	0	0	0	0	0	0	107	0	0	0	0	0	0	0
8057c180146c6d7c2265dd3b55d2a3bb	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Beijerinckiaceae	0	0	0	0	0	0	0	0	0	107	0	0	0	0
85e9f375f1e6ea1044103485eb4a2d5b	d__Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	107	0
7101a1c3266c517603d4babc141fbb7b	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	0	0	0	0	0	0	0	107	0
242e4c9904fd5ad9555b84749789fb17	d__Bacteria	0	0	106	0	0	0	0	0	0	0	0	0	0	0
f0432c5c461aff6adfe2feaf1ebb3423	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	106	0	0	0	0	0	0	0	0	0	0	0
990dce0a6a2d9767ba4760df559b226f	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__UBA4665; g__UBA5150; s__UBA5150 sp002792275	0	0	0	0	0	0	106	0	0	0	0	0	0	0
2f0ccf98325a39f660c41247afa73359	d__Bacteria; p__Campylobacterota_A; c__Campylobacteria; o__Campylobacterales	0	0	0	0	0	0	0	0	0	0	106	0	0	0
38afb3d5640ea193bc90bf6daae22c29	d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales; f__Isosphaeraceae; g__Tundrisphaera; s__Tundrisphaera lichenicola	0	105	0	0	0	0	0	0	0	0	0	0	0	0
1b242dd92bc5ab902f50fbfb25977119	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__	0	0	105	0	0	0	0	0	0	0	0	0	0	0
beab4cabb2d05fc66d3f2f0e20df2235	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Beijerinckiaceae	0	0	105	0	0	0	0	0	0	0	0	0	0	0
2f8d3d329571e0e882d4dda2647a0502	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__UBA4665; g__GCA-2746885; s__	0	0	0	105	0	0	0	0	0	0	0	0	0	0
ba97375680458fa90a4c05971918109b	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidoferrales; f__UBA7541; g__JAAFGT01; s__JAAFGT01 sp010365215	0	0	0	105	0	0	0	0	0	0	0	0	0	0
ae2f3c2a80e2c846d692337b265b738c	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__UBA4665; g__UBA5150; s__UBA5150 sp002792275	0	0	0	105	0	0	0	0	0	0	0	0	0	0
4bcb85dff2c69a08d15760643ba1a2fa	d__Bacteria; p__Chloroflexota; c__Limnocylindria; o__Limnocylindrales; f__CSP1-4; g__GWC2-73-18; s__	0	0	0	105	0	0	0	0	0	0	0	0	0	0
dc832b32f386a4021a4251f0768324ad	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__Bog-375; s__	0	0	0	0	0	0	105	0	0	0	0	0	0	0
5c447e24aacde625bc6729aee9a192c9	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__Micropepsis; s__Micropepsis pineolensis	0	0	0	0	0	0	105	0	0	0	0	0	0	0
94ea7e1273c4b71599f6ea1592ca03f5	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	0	0	105	0	0	0	0	0	0
0d19868861e81343d0c77d352b4736e4	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae	0	0	0	0	0	0	0	105	0	0	0	0	0	0
0550bb8d8a48393022cab508a15152d5	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Rhizobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	105	0
8acd180193b23b22d394f6e6ebf7831f	d__Bacteria	0	0	104	0	0	0	0	0	0	0	0	0	0	0
b68d821265d6bde312f7081898f8c7bd	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae; g__Granulicella_C_415415; s__Granulicella_C_415415 sapmiensis	0	0	0	0	0	104	0	0	0	0	0	0	0	0
d7350a6d6bb01793653a4bbeeb95e6f3	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__JAABRT01; s__JAABRT01 sp011390935	0	0	0	0	0	0	104	0	0	0	0	0	0	0
1a2f84764ef7d4145bae21541e865828	d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales; f__Isosphaeraceae; g__Aquisphaera	0	0	0	0	0	0	104	0	0	0	0	0	0	0
b386430bf87004560d6910eca42e5bdd	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__Palsa-187; s__	0	0	0	0	0	0	0	0	0	104	0	0	0	0
fd47496c25e579e0e1d87654d1255826	d__Bacteria; p__Chloroflexota; c__Limnocylindria; o__Limnocylindrales; f__CSP1-4; g__GWC2-73-18; s__	0	0	0	0	0	0	0	0	0	0	104	0	0	0
c2bcfd1b5c5c95b15c81d156a244932a	d__Bacteria	0	0	0	0	0	0	0	0	0	0	104	0	0	0
4a2579566768045ae41c487164091b6e	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Tissierellales; f__Sedimentibacteraceae; g__Sedimentibacter; s__Sedimentibacter saalensis	0	0	0	0	0	0	0	0	0	0	0	104	0	0
f98170f1e2017f31b0f606a07457fc8c	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidoferrales; f__UBA7541; g__QHYU01; s__QHYU01 sp003224235	0	0	0	0	0	0	0	0	0	0	0	0	104	0
3262ec01566615cd7df68417097f4c77	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	104	0
f955a37d1852fe9ddafa8d9986bdf5b3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	103	0	0	0	0	0	0	0	0	0	0	0
4d164c5ddbeef8df503d59c67bcc26e3	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__Palsa-187; s__	0	0	0	103	0	0	0	0	0	0	0	0	0	0
de0c195c9c8d24289e545cfd20883610	d__Bacteria; p__Planctomycetota	0	0	0	0	0	0	103	0	0	0	0	0	0	0
a852eae198b53dec7ad757de43968cd2	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Beijerinckiaceae	0	0	0	0	0	0	0	0	0	0	0	103	0	0
57df9581f593cbac404153f391b6d1f6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	0	0	0	0	0	0	0	103	0
352c65fa73df421a2f634975a0c28063	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Dermatophilaceae; g__Flexivirga; s__Flexivirga alba	102	0	0	0	0	0	0	0	0	0	0	0	0	0
cc2ab0e063690cd338a45bec6dbf5b34	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827	52	50	0	0	0	0	0	0	0	0	0	0	0	0
1e206a42f6117a3963be5acdcff71aa4	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Jatrophihabitantaceae	0	0	102	0	0	0	0	0	0	0	0	0	0	0
25f88588ac310de939cbc662b598ec26	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0	0	0	0	0	0	102	0	0	0	0	0	0	0
87324c9f56adbcda23d2dab118b978e5	d__Bacteria; p__Acidobacteriota; c__UBA6911; o__UBA6911; f__UBA6911; g__Gp18-AA60; s__Gp18-AA60 sp003225335	0	0	0	0	0	0	102	0	0	0	0	0	0	0
7eede634add7ec34345fb2ccc752610d	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae	0	0	0	0	0	0	0	0	0	102	0	0	0	0
8aaa931b69cac24be8bc55155157b0a4	d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__Dehalococcoidales; f__W498; g__W498; s__W498 sp011170285	0	0	0	0	0	0	0	0	0	0	102	0	0	0
b0a6b791ad4fe2366f86ab3549694ed2	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Thiotrichales_608018; f__Thiotrichaceae_608018; g__Thiofilum; s__	0	0	0	0	0	0	0	0	0	0	0	0	102	0
2b5643b8072c458348ae0d7d96cb4262	d__Bacteria	0	0	101	0	0	0	0	0	0	0	0	0	0	0
b9633b6ce8b16eef128b1c3c87b88ae6	d__Bacteria; p__Actinomycetota	0	0	0	101	0	0	0	0	0	0	0	0	0	0
d3838ca38dc134a7a7048a102e463c3c	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae; g__Granulicella_C_415415; s__Granulicella_C_415415 sapmiensis	0	0	0	0	0	101	0	0	0	0	0	0	0	0
30fd7a4a625bc90f4abeaab6ad192e52	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides_A_392796; s__Nocardioides_A_392796 sp000364605	0	0	0	0	0	101	0	0	0	0	0	0	0	0
2fa99244426ac693e76e5a0297011dcc	d__Bacteria; p__Cyanobacteriota; c__Chloroplast; o__; f__; g__; s__	0	0	0	0	0	101	0	0	0	0	0	0	0	0
cc1f14a84d30232d463030cf674cae70	d__Bacteria; p__Chloroflexota; c__Limnocylindria; o__Limnocylindrales; f__CSP1-4; g__GWC2-73-18; s__GWC2-73-18 sp001794945	0	0	0	0	0	0	101	0	0	0	0	0	0	0
a6e0127cbdb5d7f44f9c30207823fe1f	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__Micropepsis; s__Micropepsis pineolensis	0	0	0	0	0	0	101	0	0	0	0	0	0	0
51704051ec88f3993baa4811e2be7375	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9973; f__UBA2103; g__C7867-001; s__C7867-001 sp900299275	0	0	0	0	0	0	101	0	0	0	0	0	0	0
dd386b6ebee554a47e27194936304ade	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales	0	0	0	0	0	0	0	0	0	0	101	0	0	0
3b6b0c9c6880a35112be3d221a1e0a66	d__Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	101	0
08f51cf69f1d5ca18455b607351efa1e	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	100	0	0	0	0	0	0	0	0
4a08a44f9c6a5085aa57f5cdb0490fbf	d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales; f__Isosphaeraceae; g__Tundrisphaera; s__Tundrisphaera lichenicola	0	0	0	0	0	0	0	0	0	100	0	0	0	0
dae9f1e562ee1008c63c2a77b12c0c7a	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Thiotrichales_608018; f__Thiotrichaceae_608018; g__Thiofilum; s__	0	0	0	0	0	0	0	0	0	0	0	0	100	0
d39b9f8b92bd100757a6341474e51f95	d__Bacteria; p__Cyanobacteriota; c__Chloroplast; o__; f__; g__; s__	0	0	0	99	0	0	0	0	0	0	0	0	0	0
515435e2325f2acdf35b2ce52d6309d7	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae; g__Granulicella_C_415415; s__Granulicella_C_415415 sapmiensis	0	0	0	0	0	99	0	0	0	0	0	0	0	0
c523b347fdf76a29ddc9b38ff8eed2e2	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	99	0	0	0	0	0	0	0	0
1befcc0dd42b1ee8f21b488484459947	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	99	0	0	0	0	0	0	0	0
5afe0b88e7e8819c10f6f7c21aeca648	d__Bacteria; p__Chloroflexota	0	0	0	0	0	0	99	0	0	0	0	0	0	0
04178db8ec93b2c7a9324459f7e9530c	d__Bacteria	0	0	0	0	0	0	0	0	0	0	99	0	0	0
36a9fd8bfdd8583837935a2f044a23ce	d__Bacteria; p__Patescibacteria; c__ABY1; o__BM507; f__UBA12075	0	0	0	0	0	0	0	0	0	0	99	0	0	0
3a33b829a5dca6bab5c59cdff52c3509	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Xanthobacteraceae	0	0	0	0	0	0	0	0	0	0	99	0	0	0
5b90407eb82567949d4041beba401a8e	d__Bacteria	0	0	0	0	0	0	0	0	0	0	99	0	0	0
6074a4d41e764333c3c77c32a808e8fa	d__Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	99	0
c89c5933ad1634b8971fcfd503755f32	d__Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	99	0
1332b050dbeaaa078492f8dfd2d4a429	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	98	0	0	0	0	0	0	0	0	0	0	0
69802e6d01c1b08e37443f44ce02eeb8	d__Bacteria	0	0	98	0	0	0	0	0	0	0	0	0	0	0
c5aaa98218ac3a4bdf73a59c9c7fad2f	d__Bacteria	0	0	98	0	0	0	0	0	0	0	0	0	0	0
3db0ba55abaa15edaa3327520b1cc01b	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	98	0	0	0	0	0	0	0	0	0	0	0
2b020f08a8523657fb892f11b6e4e03d	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Mycobacterium	0	0	0	0	98	0	0	0	0	0	0	0	0	0
d53ca728d193746ab95b968d555981ec	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae	0	0	0	0	0	0	0	0	0	0	98	0	0	0
6f5bca3f3ad34707007577eda37dbe9b	d__Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	98	0
729587c8253a7484de0cc69b7eee4523	d__Bacteria; p__Actinomycetota; c__Acidimicrobiia_401430; o__Acidimicrobiales; f__RAAP-2; g__Bog-756; s__	0	0	0	0	0	0	0	0	0	0	0	0	98	0
83254390ed49f320383b95c2514ff0c1	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA6257; f__2-01-FULL-56-20; g__SURF-56; s__	0	0	0	97	0	0	0	0	0	0	0	0	0	0
9c312cbd90a487e04d390eb025a3d744	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Sphingomonas_N_483429	0	0	0	0	97	0	0	0	0	0	0	0	0	0
741bf6ee5320e3beeba930038cf50f5d	d__Bacteria	0	0	0	0	0	97	0	0	0	0	0	0	0	0
cfa8d21a99ca2547db41b9a2bc297b87	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	97	0	0	0	0	0	0	0	0
ef38d6187fd368d16bd0e7add7312b98	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Mycobacterium	0	0	0	0	0	0	0	0	0	0	97	0	0	0
1549be3a1b235fd5597fc983b6de6a94	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Novosphingobium	0	0	0	0	0	0	0	0	0	0	0	97	0	0
bc403376a4238f522d99ed4889b2810b	d__Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	97	0
9e5607801ff5a8d6cca070d8e096cec4	d__Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	97	0
564208f428085aee146c7072cc6f29fb	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae	96	0	0	0	0	0	0	0	0	0	0	0	0	0
31f491358bd5f3a1772d9e179cd83e93	d__Bacteria	0	0	96	0	0	0	0	0	0	0	0	0	0	0
37a28f41d2eee1e2d02bf301381c2ca1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Novosphingobium	0	0	0	0	0	0	0	0	0	96	0	0	0	0
64f0995e165652a1f1a6287196b17450	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Pseudonocardiaceae; g__Actinomycetospora	0	0	0	0	0	0	0	0	0	0	0	96	0	0
3a64ee236330bfd01face4074d2066f8	d__Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	96	0
0210575a98c3082ae4afcf23a521c873	d__Bacteria; p__Bacteroidota; c__UBA10030; o__UBA10030; f__UBA8401; g__SpSt-333; s__	0	0	0	0	0	0	0	0	0	0	0	0	96	0
d93b01f092ce7741ff533db7d0765f04	d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Gemmatales	0	0	0	95	0	0	0	0	0	0	0	0	0	0
f0978a754b1edf5729624abd253fa8b5	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae; g__Granulicella_C_415415; s__Granulicella_C_415415 pectinivorans	0	0	0	95	0	0	0	0	0	0	0	0	0	0
0860c3e78b860ce8c29561b38b08ac86	d__Bacteria	0	0	0	0	0	0	0	95	0	0	0	0	0	0
c00d32d61c25710d34ecc6cdee82f5b0	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Pseudonocardiaceae; g__Actinomycetospora	0	0	0	0	0	0	0	0	0	0	0	95	0	0
0f7fdbf1ff42834be1bf440a85e3d9bb	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__SbA1; g__Gp1-AA122; s__Gp1-AA122 sp003225055	0	0	0	0	0	0	0	0	0	0	0	0	95	0
0c94dc76e73efa19f4c30d2a7cda96f8	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	95	0
1954fd016fe820c7930e8769a2f13b1e	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	95
5c03df9eeb3f82b099d19c5c77543b3e	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Novosphingobium	0	94	0	0	0	0	0	0	0	0	0	0	0	0
7438e1a64baa67111900b77d388a4f2b	d__Bacteria	0	0	94	0	0	0	0	0	0	0	0	0	0	0
b5feac231e359b842a7ee769c813e3ec	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Micromonosporaceae	0	0	94	0	0	0	0	0	0	0	0	0	0	0
334fc3f61984c6e4c62d68a04da86c25	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	94	0	0	0	0	0	0	0	0
2816b98fe95582776ef2e9972516df71	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Beijerinckiaceae	0	0	0	0	0	0	94	0	0	0	0	0	0	0
2f89b33efdd3edf7f63e72b0c01e34de	d__Bacteria; p__Chloroflexota; c__Limnocylindria; o__Limnocylindrales; f__CSP1-4; g__GWC2-73-18; s__	0	0	0	0	0	0	94	0	0	0	0	0	0	0
7bd42b7f1f5673e66929f69d8eb5ddf4	d__Bacteria	0	0	0	0	0	0	0	0	0	0	94	0	0	0
d68727f9f3ce27b3866fff32a0a3a005	d__Bacteria; p__Patescibacteria; c__Gracilibacteria_12420; o__Peribacterales; f__Peribacteraceae; g__Peribacter; s__Peribacter sp001872575	0	0	0	0	0	0	0	0	0	0	94	0	0	0
25665f3672eaf26974fa1c3513c7ab66	d__Bacteria; p__Armatimonadota; c__Abditibacteriia; o__Abditibacteriales; f__Abditibacteriaceae; g__Abditibacterium; s__Abditibacterium utsteinense	0	0	0	0	0	0	0	0	0	0	0	94	0	0
7c93353ab6e05251fef09838e532e499	d__Bacteria	0	0	93	0	0	0	0	0	0	0	0	0	0	0
5d039b0ce8fb2b585609a150abd3a637	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Acidoferrales; f__UBA7541; g__Acidoferrum	0	0	0	93	0	0	0	0	0	0	0	0	0	0
5e4026870fde9f21f78bda99e08ab686	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Rhodococcus_376336	0	0	0	0	0	93	0	0	0	0	0	0	0	0
98ed4b0bf3397f58a0b7ca570e4fda3b	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae	0	0	0	0	0	93	0	0	0	0	0	0	0	0
2b82024dee79149854e60ee82bd54bd4	d__Bacteria; p__Patescibacteria; c__ABY1	0	0	0	0	0	0	93	0	0	0	0	0	0	0
d97b2a8590a0988c8ff555ecea94f8ad	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	92	0	0	0	0	0	0	0	0	0	0	0
e56b0e6a7d312f9fa887053f900912b0	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA6257; f__2-01-FULL-56-20	0	0	0	92	0	0	0	0	0	0	0	0	0	0
f2d1fa95a7d262d4ec7c8472646712af	d__Bacteria; p__Bacteroidota; c__UBA10030; o__UBA10030; f__UBA8401; g__SpSt-333; s__	0	0	0	92	0	0	0	0	0	0	0	0	0	0
d6f957086f2ce686b09b112a2a7f0d55	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Streptosporangiales; f__Streptosporangiaceae	0	0	0	92	0	0	0	0	0	0	0	0	0	0
96d1d164d85225f0ecf1f24566f92ea7	d__Bacteria; p__Actinomycetota; c__Acidimicrobiia_401430; o__Acidimicrobiales; f__RAAP-2; g__RAAP-2; s__	0	0	0	92	0	0	0	0	0	0	0	0	0	0
ffbacdf51211d6b2bd601fccad0c9310	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Thiotrichales_608018; f__Thiotrichaceae_608018; g__Thiofilum; s__	0	0	0	0	0	92	0	0	0	0	0	0	0	0
1dbf3c2b537e1cc508b958ab51ca8f22	d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__Dehalococcoidales; f__SURF-40; g__SURF-40; s__SURF-40 sp003599745	0	0	0	0	0	0	92	0	0	0	0	0	0	0
f170a50f7ef9cfa38f488ffdef92f933	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas	0	0	0	0	0	0	0	0	0	92	0	0	0	0
a46615033bb319c9d15b50c715224df8	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9973; f__UBA2103; g__C7867-001	0	0	0	0	0	0	0	0	0	0	92	0	0	0
ee4ebb9d2ae14dc9ef261020f738a7f9	d__Bacteria; p__Actinomycetota; c__Acidimicrobiia_401430; o__Acidimicrobiales; f__RAAP-2; g__RAAP-2; s__	0	0	0	0	0	0	0	0	0	0	0	0	92	0
c9c77cfd9423f42b38f2ff25e3695da6	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae	0	91	0	0	0	0	0	0	0	0	0	0	0	0
dd579d787a202a839c4fc6cd414c1f38	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Xanthobacteraceae	0	91	0	0	0	0	0	0	0	0	0	0	0	0
e24ed8ae0297b2c6d94052f375159228	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Sphingomonas_L_486704	0	0	91	0	0	0	0	0	0	0	0	0	0	0
533b2bc837db10c9fcfc9dcad4c99d10	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	91	0	0	0	0	0	0	0	0	0	0	0
e9cc8bdf0ed0d4edfb9b7696d2c8625f	d__Bacteria	0	0	0	0	0	91	0	0	0	0	0	0	0	0
0d9a13a34cf5e867aa04ab46145d5475	d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales; f__Isosphaeraceae	0	0	0	0	0	0	91	0	0	0	0	0	0	0
3402b2f9dc37dc6836944036a964827c	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__SbA1; g__Gp1-AA122; s__Gp1-AA122 sp003225055	0	0	0	0	0	0	91	0	0	0	0	0	0	0
4a9804549b42c3874ffce7cf9e4c1bbb	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Koribacteraceae; g__Bog-257; s__	0	0	0	0	0	0	91	0	0	0	0	0	0	0
4d43cf031b42c6e45af02c3a33ad364d	d__Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	91	0
ccf033acf1107ecd0b29cc24c911acf0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	0	0	0	0	0	0	0	91	0
7f14173c16cc6fe2c1ece85b16d8d8af	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Thiotrichales_608018; f__Thiotrichaceae_608018; g__Thiofilum; s__	0	0	0	0	0	0	0	0	0	0	0	0	91	0
